artist,title,year,note
The Kinks,"Lola Versus Powerman and the Moneygoround, Part One",1970,Ray Davies at his most caustic. A concept album about the music business that doubles as the best pop record about being chewed up by it.
Harry Nilsson,Nilsson Schmilsson,1971,A voice that could melt steel and a sense of humor that could deflate it. 'Without You' is the floor.
The Kinks,Muswell Hillbillies,1971,"Country, music hall, and Davies's working-class London. The least Kinks-sounding record they ever made, and one of the best."
Jethro Tull,Thick as a Brick,1972,"One song, two sides, written by a fictional 8-year-old. Take it or leave it; I take it."
Joy Division,Unknown Pleasures,1979,The blueprint. Hannett's production turned a Manchester guitar band into a transmission from the void.
Joy Division,Closer,1980,"Released two months after Curtis died. Colder, more synthetic, and impossible to hear without the weight of what came next."
The Cure,Disintegration,1989,Smith's mid-life crisis as an hour of black velvet. 'Plainsong' opens it. 'Untitled' closes it. Every minute earned.
Guns N' Roses,Appetite for Destruction,1987,Greatest hard-rock debut ever made. 'Welcome to the Jungle' as a thesis statement; the rest of the record never lets up.
Guns N' Roses,G N' R Lies,1988,"Half live-faked EP, half acoustic. 'Patience' is the song that snuck onto every soft-rock station that hated them."
Guns N' Roses,Use Your Illusion I,1991,"The sprawl. 'November Rain', 'Don't Cry', 'Coma' — songs too big to fit on one record, so they got two."
Guns N' Roses,Use Your Illusion II,1991,"The grittier half. 'Civil War', 'Estranged', 'You Could Be Mine' — Axl going for legacy, and mostly getting there."
The Stone Roses,The Stone Roses,1989,Mancunian swagger meets jangle and groove. Reni's drumming alone earns it a spot.
Public Enemy,Fear of a Black Planet,1990,"The Bomb Squad's most paranoid, most layered work. 'Welcome to the Terrordome' still hits."
Alice in Chains,Facelift,1990,Before grunge had a name. 'Man in the Box' was the moment radio realized something different was coming.
Pearl Jam,Ten,1991,Big rock songs that still earn their stadium status. 'Black' is the saddest 5-minute build in the genre.
NOFX,Ribbed,1991,"Pre-fame NOFX at their snottiest. 'New Boobs' shouldn't be funny three decades later, and yet."
Tori Amos,Little Earthquakes,1992,Piano and a confession. 'Silent All These Years' is a song that doesn't let you back into the room you were in.
Nirvana,Incesticide,1992,B-sides and Peel sessions arranged into the best Nirvana record people forget to mention. 'Sliver' is here.
Faith No More,Angel Dust,1992,"The follow-up they could have phoned in, that they sabotaged on purpose instead. Patton at full unhinged."
Alice in Chains,Dirt,1992,The heaviest record of the Seattle wave. Layne and Cantrell's harmonies on top of riffs that scrape paint.
NOFX,"White Trash, Two Heebs and a Bean",1992,"Skate punk before skate punk got polite. Still funny, still fast."
Various Artists,Singles (Original Motion Picture Soundtrack),1992,"Pearl Jam, Soundgarden, Alice in Chains, Mudhoney, Smashing Pumpkins on the same tape, right before MTV made it the story. Cameron Crowe got the snapshot."
Wu-Tang Clan,Enter the Wu-Tang (36 Chambers),1993,"Nine voices, dusty kung-fu samples, and a manifesto. Rap rewired."
A Tribe Called Quest,Midnight Marauders,1993,"Tribe's most consistent, most playable record. Q-Tip and Phife at peak chemistry."
Nirvana,In Utero,1993,"Bleach's noise plus Nevermind's hooks, with Albini on the desk. The honest one."
Various Artists,Judgment Night (Original Motion Picture Soundtrack),1993,The rap-meets-rock crossover album that everyone else spent the '90s trying and failing to replicate. Helmet x House of Pain alone justifies it.
Various Artists,The Crow (Original Motion Picture Soundtrack),1994,"The Cure, NIN, Stone Temple Pilots, Pantera, Rage. The compilation that captured the exact mid-90s mood the movie needed."
Tori Amos,Under the Pink,1994,'Pretty Good Year' and 'Cornflake Girl' on the same record. The mid-period peak.
Lagwagon,Trashed,1994,Melodic skate punk with the tightest rhythm section on Fat Wreck. Cape's voice gives the cynicism a heart.
GZA,Liquid Swords,1995,The most cinematic record in the Wu canon. RZA producing at his murkiest.
Raekwon,Only Built 4 Cuban Linx...,1995,"The purple tape. Mafioso rap's blueprint, Rae and Ghost trading bars like a two-handed novel."
Blind Melon,Soup,1995,"The record Shannon Hoon didn't live long enough to defend, and the one that justifies the whole band."
Neutral Milk Hotel,On Avery Island,1996,"Aeroplane's weirder, fuzzier older sibling. The proof Mangum already had the songs before the world noticed."
Tori Amos,Boys for Pele,1996,"Recorded in a church in Ireland. The strangest, most unguarded record she's ever made."
DJ Shadow,Endtroducing.....,1996,"First album built entirely from samples. Cinematic, melancholic, and still feels like the future twenty-five years later."
Björk,Homogenic,1997,Strings and broken beats. The record that proved electronic music could be emotional architecture.
Neutral Milk Hotel,In the Aeroplane Over the Sea,1998,"Lo-fi mysticism. Anne Frank, two-headed boys, and a horn section that sounds like a parade through the afterlife."
Black Star,Mos Def & Talib Kweli Are Black Star,1998,Two of the best rappers alive sounding like they just discovered fire. Hi-Tek on the boards.
Lauryn Hill,The Miseducation of Lauryn Hill,1998,"One album. That's all she needed. Soul, hip-hop, and a writer's voice that had nobody to compare it to."
Massive Attack,Mezzanine,1998,"The dark trip-hop apex. 'Teardrop', 'Angel', 'Inertia Creeps' — pure dread you can move to."
Air,Moon Safari,1998,French lounge electronica that turned out to be more durable than anyone expected. 'La Femme d'Argent' still parts crowds.
The Flaming Lips,The Soft Bulletin,1999,"Headphones record of the decade. Strings, horns, and the most generous batch of songs Wayne Coyne ever wrote."
Wilco,Summerteeth,1999,Sugar on top of dread. Tweedy hiding the darkest lyrics he ever wrote inside the prettiest melodies he ever wrote.
Modest Mouse,The Moon & Antarctica,2000,Existential dread you can hum. Isaac Brock's best lyrics by a mile.
Radiohead,Kid A,2000,"The pivot. Guitars traded for static and dread, and somehow more emotional for it. 'How to Disappear Completely' is the floor."
The Avalanches,Since I Left You,2000,Built from thousands of samples and yet sounds like one continuous summer afternoon.
Daft Punk,Discovery,2001,"The album that taught a generation what a vocoder was for. Pure joy, on repeat."
Björk,Vespertine,2001,"Music boxes, harps, and microbeats. An intimate record played at the volume of an indoor whisper."
Jay-Z,The Blueprint,2001,"Kanye's coming-out party as a producer, Just Blaze's golden hour, and Jay sounding untouchable. Released on 9/11 — and the album still ate."
The White Stripes,White Blood Cells,2001,"The album that pulled Jack and Meg out of Detroit. Bass-less, drum-light, and somehow louder than everything else on rock radio."
Wilco,Yankee Hotel Foxtrot,2002,"The sound of a band tearing itself apart on purpose. Static, dread, and 'Jesus, Etc.'"
Interpol,Turn On the Bright Lights,2002,"Post-punk revival distilled. 'NYC' for the city you wished you'd lived in, 'PDA' for the one you did."
The Flaming Lips,Yoshimi Battles the Pink Robots,2002,Concept record about robots that ends up being about mortality. 'Do You Realize??' earns the question marks.
TV on the Radio,Young Liars,2003,The EP that announced them. 'Staring at the Sun' a cappella into doo-wop into static. Nobody else was doing it.
Yeah Yeah Yeahs,Fever to Tell,2003,Karen O at her most feral. 'Maps' is the song the rest of the decade tried to write.
Jay-Z,The Black Album,2003,"The would-be retirement record. Every producer he ever wanted, and a closing argument for his place at the top."
The White Stripes,Elephant,2003,"'Seven Nation Army' is the floor, not the ceiling. Side B is where the album actually lives."
The Postal Service,Give Up,2003,Ben Gibbard and Jimmy Tamborello mailing tracks to each other. Should've been a one-off; ended up indelible.
TV on the Radio,"Desperate Youth, Blood Thirsty Babes",2004,Before Cookie Mountain hit. The full-length that proved the EP wasn't a fluke.
Animal Collective,Sung Tongs,2004,Two acoustic guitars and a tape machine making a campfire feel haunted.
Arcade Fire,Funeral,2004,Grief made anthemic. Every chorus is a snow day with the lights cut.
Wilco,A Ghost Is Born,2004,The migraine record. 'At Least That's What You Said' opens with the longest tense pause in rock.
Madvillain,Madvillainy,2004,"Madlib's loops, DOOM's bars. The most quotable, most replayable underground rap record of its decade."
MF DOOM,MM..FOOD,2004,"Cereal samples, food bars, and DOOM at his loosest. A breakfast record disguised as a rap album."
Andrew Bird,The Mysterious Production of Eggs,2005,"Whistling, violin loops, and a vocabulary unlike anyone else writing songs."
Sufjan Stevens,Illinois,2005,Fifty states was always a bit. The Illinoise record was always the point.
Wolf Parade,Apologies to the Queen Mary,2005,"Two songwriters, two voices, and 'I'll Believe in Anything' — the best closing argument any band ever wrote."
Animal Collective,Feels,2005,The record where AnCo figured out how to write songs without losing the weirdness. 'Grass' alone.
Bloc Party,Silent Alarm,2005,"Post-punk angles, jittery drums, and the most caffeinated guitar tones of the decade. 'Like Eating Glass' as opening statement."
TV on the Radio,Return to Cookie Mountain,2006,Wolves howling through a wall of guitars. Brooklyn art-rock that earns the term.
Yeah Yeah Yeahs,Show Your Bones,2006,The least loved YYYs record and the most rewarding on repeat. 'Cheated Hearts' is the sleeper.
Menomena,Friend and Foe,2007,"Three guys, a custom-built looping program, and weirder ideas than any of their peers."
Les Savy Fav,Let's Stay Friends,2007,Tim Harrington in full preacher mode. Brooklyn post-punk with a sense of humor.
LCD Soundsystem,Sound of Silver,2007,"'All My Friends'. 'Someone Great'. 'New York, I Love You But You're Bringing Me Down.' One album, three songs that flatten you."
Akron/Family,Love Is Simple,2007,"Communal psych-folk that swerves into chant, into noise, into hymn. A record that sounds like a room full of people."
